"horarioInicial","onibus","caminhao","carros","motos","ciclistas"
"06:00",0,0,30,33,15
"06:00",1,0,21,15,14
"06:15",1,3,51,47,31
"06:15",14,5,514,124,276
"06:15",5,2,30,32,40
"06:30",2,0,113,102,47
"06:30",10,7,422,216,4
"06:30",1,1,52,38,35
"06:45",0,0,170,134,33
"06:45",11,12,808,275,18
"06:45",7,4,101,62,29
"07:00",1,0,186,145,32
"07:00",15,18,945,321,19
"07:00",3,4,115,43,29
"07:15",0,1,156,103,18
"07:15",10,9,750,299,8
"07:15",5,0,109,48,31
"07:30",0,2,139,89,22
"07:30",10,8,772,310,12
"07:30",0,2,125,51,36
"07:45",0,2,148,155,20
"07:45",6,6,971,410,7
"07:45",1,5,138,66,22
"08:00",0,1,165,115,29
"08:00",7,8,1098,344,4
"08:00",1,2,123,41,16
"08:15",0,6,166,73,8
"08:15",7,9,702,297,12
"08:15",1,3,132,51,23
"08:30",0,3,120,120,11
"08:30",9,15,855,243,11
"08:30",2,5,143,40,20
"08:45",0,4,158,56,16
"08:45",4,3,810,248,8
"08:45",3,5,135,60,16
"09:00",1,1,130,51,13
"09:00",7,15,795,332,8
"09:00",1,5,121,38,12
"09:15",0,0,123,49,9
"09:15",6,13,438,216,5
"09:15",3,2,132,50,11
"09:30",0,5,153,49,8
"09:30",5,14,609,329,9
"09:30",1,2,123,51,14
"09:45",0,2,124,44,13
"09:45",25,8,693,275,7
"09:45",2,3,142,59,15
"10:00",0,3,141,64,6
"10:00",7,19,715,285,11
"10:00",2,8,128,50,10
"10:15",0,1,134,61,6
"10:15",8,21,647,258,5
"10:15",3,2,113,61,4
"10:30",0,4,97,57,13
"10:30",4,25,557,270,5
"10:30",0,3,149,54,5
"10:45",0,3,111,64,13
"10:45",9,24,636,313,1
"10:45",4,8,147,48,8
"11:00",0,4,177,93,22
"11:00",5,16,693,375,11
"11:00",3,5,130,67,15
"11:15",1,0,162,75,6
"11:15",15,41,708,352,10
"11:15",2,1,139,55,7
"11:30",3,0,164,75,9
"11:30",13,21,640,394,0
"11:30",3,4,168,78,12
"11:45",0,3,211,91,13
"11:45",16,18,772,364,6
"11:45",3,7,150,67,6
"12:00",1,1,199,62,9
"12:00",4,7,654,362,13
"12:00",0,4,169,74,7
"12:15",1,0,141,47,10
"12:15",3,4,712,372,10
"12:15",4,4,155,45,4
"12:30",0,2,150,53,7
"12:30",6,6,841,312,10
"12:30",1,4,116,51,7
"12:45",0,2,192,84,16
"12:45",3,3,827,355,13
"12:45",4,4,118,47,8
"13:00",0,4,209,64,13
"13:00",3,3,786,366,9
"13:00",2,3,133,59,7
"13:15",0,5,177,70,9
"13:15",2,5,732,339,14
"13:15",3,6,140,64,8
"13:30",0,5,184,60,7
"13:30",2,9,698,314,7
"13:30",2,4,128,50,9
"13:45",0,3,220,70,10
"13:45",0,2,795,370,8
"13:45",0,2,151,58,11
"14:00",0,9,195,70,9
"14:00",2,10,900,430,12
"14:00",2,7,162,52,6
"14:15",1,5,224,57,4
"14:15",3,12,844,312,5
"14:15",2,0,149,45,2
"14:30",0,2,150,45,3
"14:30",4,13,761,329,15
"14:30",1,5,129,64,2
"14:45",0,5,187,62,10
"14:45",4,11,751,340,11
"14:45",2,3,139,65,5
"15:00",0,0,172,41,10
"15:00",4,5,723,336,11
"15:00",3,2,131,48,7
"15:15",0,2,135,57,10
"15:15",9,15,699,338,14
"15:15",1,3,160,48,8
"15:30",0,3,191,79,7
"15:30",5,10,744,352,15
"15:30",2,7,121,63,7
"15:45",0,1,159,52,14
"15:45",7,12,714,360,9
"15:45",3,4,145,36,7
"16:00",0,2,173,78,26
"16:00",6,12,718,371,11
"16:00",0,4,168,61,11
"16:15",1,0,170,63,30
"16:15",5,13,821,318,22
"16:15",1,4,160,64,23
"16:30",0,1,168,60,26
"16:30",5,20,617,345,15
"16:30",0,4,164,62,33
"16:45",0,2,205,96,46
"16:45",5,4,686,333,23
"16:45",2,8,161,82,49
"17:00",0,0,191,100,45
"17:00",10,8,749,410,15
"17:00",4,5,143,51,33
"17:15",2,2,181,61,43
"17:15",11,9,921,382,32
"17:15",2,2,160,66,32
"17:30",2,1,209,69,37
"17:30",7,13,866,334,18
"17:30",4,3,188,72,35
"17:45",1,1,190,76,36
"17:45",29,7,792,323,19
"17:45",6,10,121,64,26
"18:00",0,0,215,90,20
"18:00",20,6,538,420,14
"18:00",7,0,125,70,24
"18:15",0,0,170,76,19
"18:15",24,9,553,301,12
"18:15",11,8,147,64,19
"18:30",2,1,181,82,20
"18:30",10,6,540,185,9
"18:30",6,3,120,61,20
"18:45",1,3,161,76,16
"18:45",5,4,439,259,4
"18:45",1,2,121,64,20
"19:00",0,0,116,64,29
"19:00",7,5,433,262,7
"19:00",1,2,119,49,18
"19:15",0,1,144,53,25
"19:15",0,4,318,178,7
"19:15",1,2,101,43,21
"19:30",0,1,154,38,16
"19:30",4,1,293,137,3
"19:30",1,1,79,36,28
"19:45",0,0,148,34,17
"19:45",2,1,251,154,6
"19:45",1,0,73,48,25
"20:00",0,0,109,49,36
"20:00",1,1,296,172,1
"20:00",1,1,105,45,21
"20:15",0,0,107,53,4
"20:15",1,1,233,109,4
"20:15",0,2,66,17,7
"20:30",0,1,105,39,8
"20:30",0,0,221,113,0
"20:30",1,3,65,32,6
"20:45",0,2,73,32,1
"20:45",0,1,279,131,100
"20:45",0,1,88,15,6
