date,date1,"mulheres.ciclistas",close
"06:00",46,0,46
"06:00",46,0,46
"06:15",64,0,64
"06:15",17,0,17
"06:15",70,0,70
"06:30",73,1,74
"06:30",25,1,26
"06:30",59,7,66
"06:45",62,4,66
"06:45",37,1,38
"06:45",60,7,67
"07:00",64,3,67
"07:00",43,1,44
"07:00",45,2,47
"07:15",61,2,63
"07:15",27,0,27
"07:15",64,3,67
"07:30",54,3,57
"07:30",35,0,35
"07:30",56,1,57
"07:45",36,3,39
"07:45",27,0,27
"07:45",42,0,42
"08:00",32,2,34
"08:00",18,0,18
"08:00",35,1,36
"08:15",36,1,37
"08:15",30,0,30
"08:15",22,2,24
"08:30",14,2,16
"08:30",27,0,27
"08:30",32,2,34
"08:45",16,2,18
"08:45",16,0,16
"08:45",17,3,20
"09:00",3,1,4
"09:00",37,0,37
"09:00",17,1,18
"09:15",7,1,8
"09:15",11,0,11
"09:15",12,0,12
"09:30",13,0,13
"09:30",15,1,16
"09:30",10,0,10
"09:45",5,0,5
"09:45",19,0,19
"09:45",17,2,19
"10:00",5,0,5
"10:00",23,0,23
"10:00",8,3,11
"10:15",5,0,5
"10:15",15,0,15
"10:15",7,0,7
"10:30",3,0,3
"10:30",21,0,21
"10:30",6,1,7
"10:45",11,1,12
"10:45",21,0,21
"10:45",9,0,9
"11:00",13,0,13
"11:00",28,0,28
"11:00",8,0,8
"11:15",2,0,2
"11:15",22,0,22
"11:15",2,0,2
"11:30",4,0,4
"11:30",35,0,35
"11:30",23,0,23
"11:45",1,0,1
"11:45",34,0,34
"11:45",7,0,7
"12:00",11,0,11
"12:00",15,0,15
"12:00",10,0,10
"12:15",6,0,6
"12:15",16,0,16
"12:15",2,0,2
"12:30",8,0,8
"12:30",15,0,15
"12:30",2,0,2
"12:45",17,0,17
"12:45",28,0,28
"12:45",2,0,2
"13:00",6,1,7
"13:00",27,0,27
"13:00",4,0,4
"13:15",18,0,18
"13:15",26,0,26
"13:15",24,0,24
"13:30",12,0,12
"13:30",23,0,23
"13:30",10,0,10
"13:45",2,0,2
"13:45",20,0,20
"13:45",5,0,5
"14:00",11,0,11
"14:00",10,0,10
"14:00",11,0,11
"14:15",16,0,16
"14:15",23,0,23
"14:15",10,0,10
"14:30",11,0,11
"14:30",23,1,24
"14:30",12,0,12
"14:45",7,0,7
"14:45",26,0,26
"14:45",15,0,15
"15:00",15,0,15
"15:00",28,2,30
"15:00",4,1,5
"15:15",9,1,10
"15:15",41,0,41
"15:15",5,1,6
"15:30",20,1,21
"15:30",22,1,23
"15:30",11,1,12
"15:45",33,4,37
"15:45",40,0,40
"15:45",17,0,17
"16:00",59,3,62
"16:00",40,0,40
"16:00",9,2,11
"16:15",38,7,45
"16:15",37,1,38
"16:15",39,5,44
"16:30",24,4,28
"16:30",45,0,45
"16:30",53,4,57
"16:45",81,3,84
"16:45",40,1,41
"16:45",63,11,74
"17:00",116,7,123
"17:00",55,0,55
"17:00",53,3,56
"17:15",82,9,91
"17:15",36,0,36
"17:15",83,6,89
"17:30",113,9,122
"17:30",32,0,32
"17:30",73,4,77
"17:45",79,4,83
"17:45",28,0,28
"17:45",75,6,81
"18:00",86,0,86
"18:00",54,0,54
"18:00",56,2,58
"18:15",79,1,80
"18:15",47,0,47
"18:15",77,7,84
"18:30",69,0,69
"18:30",31,0,31
"18:30",60,3,63
"18:45",60,0,60
"18:45",35,0,35
"18:45",82,2,84
"19:00",64,0,64
"19:00",25,1,26
"19:00",66,0,66
"19:15",52,1,53
"19:15",4,0,4
"19:15",63,0,63
"19:30",39,1,40
"19:30",11,0,11
"19:30",63,0,63
"19:45",22,2,24
"19:45",9,1,10
"19:45",40,2,42
"20:00",14,3,17
"20:00",6,0,6
"20:00",25,1,26
"20:15",9,0,9
"20:15",5,1,6
"20:15",23,0,23
"20:30",15,2,17
"20:30",4,0,4
"20:30",24,0,24
"20:45",11,0,11
"20:45",7,11,18
"20:45",17,0,17
